capitulo,capitulo1,articulo,articulo1,concepto,concepto1,subconcepto,denominacion
,,45, ,450,450,,A la Administración General de las Comunidades Autónomas.
,,45,,451,451,,A Organismos Autónomos y agencias de las Comunidades Autónomas.
,,45,,452,452,,A fundaciones de las Comunidades Autónomas.
,,45,,453,453,,"A sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas."
,,,,453,,453.00,Subvenciones para fomento del empleo.
,,,,453,,453.10,Subvenciones para bonificación de intereses y primas de seguros.
,,,,453,,453.20,Subvenciones para reducir el precio a pagar por los consumidores.
,,,,453,,453.90,"Otras subvenciones a sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas."
4,,46,46,,,,A Entidades Locales.
,,46,,461,461,,"A Diputaciones, Consejos o Cabildos insulares."
,,46,,462,462,,A Ayuntamientos.
,,46,,463,463,,A Mancomunidades.
,,46,,464,464,,A Áreas Metropolitanas.
,,46,,465,465,,A Comarcas.
,,46,,466,466,,A otras Entidades que agrupen municipios.
,,46,,467,467,,A Consorcios.
,,46,,468,468,,A Entidades Locales Menores.
4,,47,47,,,,A Empresas privadas.
,,47,,470,470,,Subvenciones para fomento del empleo.
,,47,,471,471,,Subvenciones para bonificación de intereses y primas de seguros.
,,47,,472,472,,Subvenciones para reducir el precio a pagar por los consumidores.
,,47,,479,479,,Otras subvenciones a Empresas privadas.
4,,48,48,,,,A Familias e Instituciones sin fines de lucro.
4,,49,49,,,,Al exterior.
 ,5,,,,,,FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS.
5,,50,50,,,,Dotación al Fondo de Contingencia de Ejecución Presupuestaria.
,,50,,500,500,,"Fondo de Contingencia de Ejecución Presupuestaria. Artículo 31 Ley Orgánica 2/2012, de Estabilidad Presupuestaria y Sostenibilidad Financiera."
 ,6,,,,,,INVERSIONES REALES.
6,,60,60,,,,Inversión nueva en infraestructuras y bienes destinados al uso general.
,,60,,600,600,,Inversiones en terrenos.
,,60,,609,609,,Otras inversiones nuevas en infraestructuras y bienes destinados al uso general.
6,,61,61,,,,Inversiones de reposición de infraestructuras y bienes destinados al uso general.
,,61,,610,610,,Inversiones en terrenos.
,,61,,619,619,,Otras inversiones de reposición en infraestructuras y bienes destinados al uso general.
6,,62,62,,,,Inversión nueva asociada al funcionamiento operativo de los servicios.
,,62,,621,621,,Terrenos y bienes naturales.
,,62,,622,622,,Edificios y otras construcciones.
,,62,,623,623,,"Maquinaria, instalaciones técnicas y utillaje."
,,62,,624,624,,Elementos de transporte.
,,62,,625,625,,Mobiliario.
,,62,,626,626,,Equipos para procesos de información.
,,62,,627,627,,Proyectos complejos.
,,62,,629,629,,Otras inversiones nuevas asociadas al funcionamiento operativo de los servicios.
6,,63,63,,,,Inversión de reposición asociada al funcionamiento operativo de los servicios.
,,63,,631,631,,Terrenos y bienes naturales.
,,63,,632,632,,Edificios y otras construcciones.
,,63,,633,633,,"Maquinaria, instalaciones técnicas y utillaje."
,,63,,634,634,,Elementos de transporte.
,,63,,635,635,,Mobiliario.
,,63,,636,636,,Equipos para procesos de información.
,,63,,637,637,,Proyectos complejos.
,,63,,639,639,,Otras inversiones de reposición asociadas al funcionamiento operativo de los servicios.
6,,64,64,,,,Gastos en inversiones de carácter inmaterial.
,,64,,640,640,,Gastos en inversiones de carácter inmaterial.
,,64,,641,641,,Gastos en aplicaciones informáticas.
,,64,,648,648,,Cuotas netas de intereses por operaciones de arrendamiento financiero («leasing»).
6,,65,65,,,,Inversiones gestionadas para otros entes públicos.
,,65,,650,650,,Gastos en inversiones gestionadas para otros entes públicos.
6,,68,,,,,Gastos en inversiones de bienes patrimoniales.
,,68,68,681,681,,Terrenos y bienes naturales.
,,68,,682,682,,Edificios y otras construcciones.
,,68,,689,689,,Otros gastos en inversiones de bienes patrimoniales.
6,,69,69,,,,Inversiones en bienes comunales.
,,69,,690,690,,Terrenos y bienes naturales.
,,69,,692,692,,Inversión en infraestructuras.
 ,7,,,,,,TRANSFERENCIAS DE CAPITAL.
7,,70,70,,,,A la Administración General de la Entidad Local.
7,,71,71,,,,A Organismos Autónomos de la Entidad Local.
7,,72,72,,,,A la Administración del Estado.
,,72,,720,720,,A la Administración General del Estado.
,,72,,721,721,,A Organismos Autónomos y agencias.
,,,,721,,721.00,Al Servicio Público de Empleo Estatal.
,, ,,721, ,721.09,A otros organismos autónomos.
,,72,,722,722,,A fundaciones estatales.
,,72,,723,723,,"A sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos."
7,,73,73,,,,A la Seguridad Social.
7,,74,74,,,,A entes públicos y sociedades mercantiles de la Entidad local.
7,,75,75,,,,A Comunidades Autónomas.
,,75,,750,750,,A la Administración General de las Comunidades Autónomas.
,,75,,751,751,,A Organismos Autónomos y agencias de las Comunidades Autónomas.
,,75,,752,752,,A fundaciones de las Comunidades Autónomas.
,,75,,753,753,,"A sociedades mercantiles, entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas."
7,,76,76,,,,A Entidades Locales.
,,76,,761,761,,"A Diputaciones, Consejos o Cabildos."
,,76,,762,762,,A Ayuntamientos.
,,76,,763,763,,A Mancomunidades.
,,76,,764,764,,A Áreas Metropolitanas.
,,76,,765,765,,A Comarcas.
,,76,,766,766,,A Entidades que agrupen Municipios.
,,76,,767,767,,A Consorcios.
,,76,,768,768,,A Entidades Locales Menores.
7,,77,77,,,,A empresas privadas.
7,,78,78,,,,A familias e instituciones sin fines de lucro.
7,,79,79,,,,Al exterior.
 ,8,,,,,,ACTIVOS FINANCIEROS.
8,,80,80,,,,Adquisición de deuda del sector público.
,,80,,800,800,,Adquisición de deuda del sector público a corto plazo.
,,,,800,,800.00,Al Estado.
,,,,800,,800.10,A Comunidades Autónomas.
,,,,800,,800.20,A Entidades locales.
,,,,800,,800.90,A otros subsectores.
,,80,,801,801,,Adquisición de deuda del sector público a largo plazo.
,,,,801,,801.00,Al Estado.
,,,,801,,801.10,A Comunidades Autónomas.
,,,,801,,801.20,A Entidades locales.
,,,,801,,801.90,A otros subsectores.
8,,81,81,,,,Adquisición de Obligaciones y Bonos fuera del sector público.
,,81,,810,810,,Adquisición de obligaciones y bonos fuera del sector público a corto plazo. Desarrollo por sectores.
,,81,,811,811,,Adquisición de obligaciones y bonos fuera del sector público a largo plazo. Desarrollo por sectores.
8,,82,82,,,,Concesión préstamos al sector público.
,,82,,820,820,,Préstamos a corto plazo.
,,,,820,,820.00,Al Estado.
,,,,820,,820.10,A Comunidades Autónomas.
,,,,820,,820.20,A Entidades locales.
,,,,820,,820.90,A otros subsectores.
,,82,,821,821,,Préstamos a largo plazo.
,,,,821,,821.00,Al Estado.
,,,,821,,821.10,A Comunidades Autónomas.
,,,,821,,821.20,A Entidades locales.
,,,,821,,821.90,A otros subsectores.
8,,83,83,,,,Concesión de préstamos fuera del sector público.
,,83,,830,830,,Préstamos a corto plazo. Desarrollo por sectores.
,,83,,831,831,,Préstamos a largo plazo. Desarrollo por sectores.
8,,84,84,,,,Constitución de depósitos y fianzas.
,,84,,840,840,,Depósitos.
,,,,840,,840.00,A corto plazo.
,,,,840,,840.10,A largo plazo.
,,84,,841,841,,Fianzas.
,,,,841,,841.00,A corto plazo.
,,,,841,,841.10,A largo plazo.
8,,85,85,,,,Adquisición de acciones y participaciones del sector público.
,,85,,850,850,,Adquisición de acciones y participaciones del sector público.
,,,,850,,850.01,Adquisición de acciones y participaciones para compensar pérdidas.
,,,,850,,850.20,Adquisición de acciones y participaciones para financiar inversiones no rentables.
,,,,850,,850.90,Resto de adquisiciones de acciones dentro del sector público.
8,,86,86,,,,Adquisición de acciones y participaciones fuera del sector público.
,,86,,860,860,,Adquisición de acciones y participaciones fuera del sector público.
,,,,860,,860.10,De empresas nacionales.
,,,,860,,860.20,De empresas de la Unión Europea.
,,,,860,,860.90,De otras empresas.
8,,87,87,,,,Aportaciones patrimoniales.
,,87,,870,870,,Aportaciones a fundaciones.
,,87,,871,871,,Aportaciones a consorcios.
,,87,,872,872,,Aportaciones a otros entes.
,,,,872,,872.10,Aportaciones para compensar pérdidas.
,,,,872,,872.20,Aportaciones para financiar inversiones no rentables.
,,,,872,,872.90,Resto de aportaciones.
 ,9,,,,,,PASIVOS FINANCIEROS.
9,,90,90,,,,Amortización de Deuda Pública en euros.
,,90,,900,900,,Amortización de Deuda Pública en euros a corto plazo.
,,90,,901,901,,Amortización de Deuda Pública en euros a largo plazo.
9,,91,91,,,,Amortización de préstamos y de operaciones en euros.
,,91,,910,910,,Amortización de préstamos a corto plazo de entes del sector público.
,,91,,911,911,,Amortización de préstamos a largo plazo de entes del sector público.
,,91,,912,912,,Amortización de préstamos a corto plazo de entes de fuera del sector Público.
,,91,,913,913,,Amortización de préstamos a largo plazo de entes de fuera del sector público.
9,,92,92,,,,Amortización de Deuda Pública en moneda distinta del euro.
,,92,,920,920,,Amortización de Deuda Pública en moneda distinta del euro a corto plazo.
,,92,,921,921,,Amortización de Deuda Pública en moneda distinta del euro a largo plazo.
9,,93,93,,,,Amortización de préstamos en moneda distinta del euro.
,,93,,930,930,,Amortización de préstamos en moneda distinta del euro a corto plazo.
,,93,,931,931,,Amortización de préstamos en moneda distinta del euro a largo plazo.
9,,94,94,,,,Devolución de depósitos y fianzas.
,,94,,940,940,,Devolución de depósitos.
,,94,,941,941,,Devolución de fianzas.
