capitulo,articulo,concepto,subconcepto,denominacion
,,302,,Servicio de recogida de basuras.
,,303,,Servicio de tratamiento de residuos.
,,304,,Canon de saneamiento.
,,309,,Otras tasas por prestación de servicios básicos.
,31,,,Tasas por la prestación de servicios públicos de carácter social y preferente.
,,310,,Servicios hospitalarios.
,,311,,Servicios asistenciales.
,,312,,Servicios educativos.
,,313,,Servicios deportivos.
,,319,,Otras tasas por prestación de servicios de carácter preferente.
,32,,,Tasas por la realización de actividades de competencia local.
,,320,,Licencias de caza y pesca.
,,321,,Licencias urbanísticas.
,,322,,Cédulas de habitabilidad y licencias de primera ocupación.
,,323,,Tasas por otros servicios urbanísticos.
,,324,,Tasas sobre el juego.
,,325,,Tasa por expedición de documentos.
,,326,,Tasa por retirada de vehículos.
,,329,,Otras tasas por la realización de actividades de competencia local.
,33,,,Tasas por la utilización privativa o el aprovechamiento especial del dominio público local.
,,330,,Tasa de estacionamiento de vehículos.
,,331,,Tasa por entrada de vehículos.
,,332,,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de suministros.
,,333,,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de telecomunicaciones.
,,334,,Tasa por apertura de calas y zanjas.
,,335,,Tasa por ocupación de la vía pública con terrazas.
,,336,,Tasa por ocupación de la vía pública con suspensión temporal del tráfico rodado.
,,337,,Tasas por aprovechamiento del vuelo.
,,338,,Compensación de Telefónica de España S.A.
,,339,,Otras tasas por utilización privativa del dominio público.
,34,,,Precios públicos.
,,340,,Servicios hospitalarios.
,,341,,Servicios asistenciales.
,,342,,Servicios educativos.
,,343,,Servicios deportivos.
,,344,,Entradas a museos exposiciones espectáculos.
,,345,,Servicio de transporte público urbano.
,,349,,Otros precios públicos.
,35,,,Contribuciones especiales.
,,350,,Para la ejecución de obras.
,,351,,Para el establecimiento o ampliación de servicios.
,36,,,Ventas.
,38,,,Reintegros de operaciones corrientes.
,,380,,Reintegro de avales.
,,389,,Otros reintegros de operaciones corrientes.
,39,,,Otros ingresos.
,,391,,Multas.
,,,391.00,Multas por infracciones urbanísticas.
,,,391.10,Multas por infracciones tributarias y análogas.
,,,391.20,Multas por infracciones de la Ordenanza de circulación.
,,,391.90,Otras multas y sanciones.
,,392,,Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo.
,,,392.00,Recargos por declaración extemporánea sin requerimiento previo.
,,,392.10,Recargo ejecutivo.
,,,392.11,Recargo de apremio.
,,393,,Intereses de demora.
,,394,,Prestación personal.
,,395,,Prestación de transporte.
,,396,,Ingresos por actuaciones de urbanización.
,,,396.00,Canon de urbanización.
,,,396.10,Cuotas de urbanización.
,,397,,Aprovechamientos urbanísticos.
,,,397.00,Canon por aprovechamientos urbanísticos.
,,,397.10,Otros ingresos por aprovechamientos urbanísticos.
,,398,,Indemnizaciones de seguros de no vida.
,,399,,Otros ingresos diversos.
4,,,,Transferencia corrientes.
,40,,,De la Administración General de la Entidad Local.
,41,,,De Organismos Autónomos de la Entidad Local.
,42,,,De la Administración del Estado.
,,420,,De la Administración General del Estado.
,,,420.00,Participación en los Tributos del Estado.
,,,420.10,Fondo Complementario de Financiación.
,,,420.20,Compensación por beneficios fiscales.
,,,420.90,Otras transferencias corrientes de la Administración General del Estado.
,,421,,De Organismos Autónomos y agencias estatales.
,,,421.00,Del Servicio Público de Empleo Estatal.
,,,421.90,De otros Organismos Autónomos y Agencias.
,,422,,De fundaciones estatales.
,,423,,De sociedades mercantiles estatales entidades públicas empresariales y otros organismos públicos.
,,,423.00,De Loterías y Apuestas del Estado.
,,,423.90,De otras sociedades mercantiles estatales entidades públicas empresariales y organismos públicos.
,43,,,De la Seguridad Social.
,44,,,De entes públicos y sociedades mercantiles de la Entidad local.
,,440,,De entes públicos.
,,441,,De sociedades mercantiles.
,45,,,De Comunidades Autónomas.
,,450,,De la Administración General de las Comunidades Autónomas.
,,,450.00,Participación en tributos de la Comunidad Autónoma.
,,,450.01,Otras transferencias incondicionadas.
,,,450.02,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad.
,,,450.30,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación.
,,,450.50,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empleo y Desarrollo local.
,,,450.60,Otras transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma.
,,,450.80,Otras subvenciones corrientes de la Administración General de la Comunidad Autónoma.
,,451,,De Organismos Autónomos y agencias de las Comunidades Autónomas.
,,452,,De fundaciones de las Comunidades Autónomas.
,,453,,De sociedades mercantiles entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.
,46,,,De Entidades Locales.
,,461,,De Diputaciones Consejos o Cabildos.
,,462,,De Ayuntamientos.
,,463,,De Mancomunidades.
,,464,,De Áreas Metropolitanas.
,,465,,De Comarcas.
,,466,,De otras Entidades que agrupen Municipios.
,,467,,De Consorcios.
,,468,,De Entidades locales Menores.
,47,,,De Empresas privadas.
,48,,,De familias e instituciones sin fines de lucro.
,49,,,Del exterior.
,,490,,Del Fondo Social Europeo.
,,491,,Del Fondo de Desarrollo Regional.
,,492,,Del Fondo de Cohesión.
,,493,,Del Fondo Europeo Agrícola de Garantía (FEAGA).
,,494,,Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).
,,495,,Del FEOGA-Orientación.
,,496,,Del Fondo Europeo de la Pesca (FEP).
,,497,,Otras transferencias de la Unión Europea.
,,499,,Otras transferencias del exterior excluyendo la Unión Europea.
5,,,,Ingresos patrimoniales.
,50,,,Intereses de títulos y valores.
,,500,,Del Estado.
,,501,,De Organismos Autónomos y agencias.
,,504,,De sociedades mercantiles estatales entidades públicas empresariales y otros organismos públicos.
,,505,,De Comunidades Autónomas.
,,506,,De Entidades locales.
,,507,,De empresas privadas.
,51,,,Intereses de anticipos y préstamos concedidos.
,,511,,De Organismos Autónomos y agencias.
,,514,,De sociedades mercantiles entidades públicas empresariales y otros organismos públicos.
,,518,,De familias e instituciones sin ánimo de lucro.
,52,,,Intereses de depósitos.
,53,,,Dividendos y participación beneficios.
,,531,,De Organismos Autónomos y agencias.
,,534,,De Sociedades mercantiles entidades públicas empresariales y otros organismos públicos.
,,,534.00,De sociedades y entidades dependientes de las entidades locales.
,,,534.10,De sociedades y entidades no dependientes de las entidades locales.
,,537,,De empresas privadas.
,54,,,Rentas de bienes inmuebles.
,,541,,Arrendamientos de fincas urbanas.
,,542,,Arrendamientos de fincas rústicas.
,,544,,Censos.
,,549,,Otras rentas de bienes inmuebles.
,55,,,Productos de concesiones y aprovechamientos especiales.
,,550,,De concesiones administrativas con contraprestación periódica.
,,551,,De concesiones administrativas con contraprestación no periódica.
,,552,,Derecho de superficie con contraprestación periódica.
,,553,,Derecho de superficie con contraprestación no periódica.
,,554,,Aprovechamientos agrícolas y forestales.
,,,554.00,Producto de explotaciones forestales.
,,,554.10,Fondo de mejora de montes.
,,555,,Aprovechamientos especiales con contraprestación.
,,559,,Otras concesiones y aprovechamientos.
,59,,,Otros ingresos patrimoniales.
,,591,,Beneficios por realización de inversiones financieras.
,,592,,Ingresos por operaciones de intercambio financiero.
,,599,,Otros ingresos patrimoniales.
6,,,,Enajenación de inversiones reales.
,60,,,De terrenos.
,,600,,Venta de solares.
,,601,,Venta de fincas rústicas.
,,602,,Parcelas sobrantes de la vía pública.
,,603,,Patrimonio público del suelo.
,,609,,Otros terrenos.
,61,,,De las demás inversiones reales.
,,611,,De inversiones de carácter inmaterial.
,,612,,De objetos valiosos.
,,619,,De otras inversiones reales.
,68,,,Reintegros por operaciones de capital.
,,680,,De ejercicios cerrados.
7,,,,Transferencias de capital.
,70,,,De la Administración General de la Entidad Local.
,71,,,De Organismos Autónomos de la Entidad Local.
,72,,,De la Administración del Estado.
,,720,,De la Administración General del Estado.
,,721,,De Organismos Autónomos y agencias estatales.
,,,721.00,Del Servicio Público de Empleo Estatal.
,,,721.90,De otros Organismos Autónomos y agencias.
,,722,,De fundaciones estatales.
,,723,,De sociedades mercantiles estatales entidades públicas empresariales y otros organismos públicos.
,,,723.00,De Loterías y Apuestas del Estado.
,,,723.90,De otras sociedades mercantiles estatales entidades públicas empresariales y otros organismos públicos.
,73,,,De la Seguridad Social.
,74,,,De entes públicos y sociedades mercantiles de la Entidad local.
,,740,,De entes públicos.
,,741,,De sociedades mercantiles.
,75,,,De Comunidades Autónomas.
,,750,,De la Administración General de las Comunidades Autónomas.
,,,750.00,Subvenciones afectas a la amortización de préstamos y operaciones financieras.
,,,750.02,Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad.
,,,750.30,Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación.
,,,750.50,Transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empleo y Desarrollo local.
,,,750.60,Otras transferencias de capital en cumplimiento de convenios suscritos con la Comunidad Autónoma.
,,,750.80,Otras transferencias de capital de la Administración General de la Comunidad Autónoma.
,,751,,De Organismos Autónomos y agencias de las Comunidades Autónomas.
,,752,,De fundaciones de las Comunidades Autónomas.
,,753,,De sociedades mercantiles entidades públicas empresariales y otros organismos públicos dependientes de las Comunidades Autónomas.
,76,,,De Entidades Locales.
,,761,,De Diputaciones Consejos o Cabildos.
,,762,,De Ayuntamientos.
,,763,,De Mancomunidades.
,,764,,De Áreas Metropolitanas.
,,765,,De Comarcas.
,,766,,De otras Entidades que agrupen Municipios.
,,767,,De Consorcios.
,,768,,De Entidades locales Menores.
,77,,,De empresas privadas.
,78,,,De familias e instituciones sin fines de lucro.
,79,,,Del exterior.
,,790,,Del Fondo Social Europeo.
,,791,,Del Fondo de Desarrollo Regional.
,,792,,Del Fondo de Cohesión.
,,793,,Del Fondo Europeo Agrícola de Garantía (FEAGA).
,,794,,Del Fondo Europeo Agrícola de Desarrollo Rural (FEADER).
,,795,,Del FEOGA-Orientación.
,,796,,Del Fondo Europeo de la Pesca (FEP).
,,797,,Otras transferencias de la Unión Europea.
,,799,,Otras transferencias del exterior excluyendo la Unión Europea.
8,,,,Activos financieros.
,80,,,Enajenación de deuda del sector público.
,,800,,Enajenación de deuda del sector público a corto plazo.
,,,800.00,Del Estado.
,,,800.10,De Comunidades Autónomas.
,,,800.20,De Entidades locales.
,,801,,Enajenación de deuda del sector público a largo plazo.
,,,801.00,Del Estado.
,,,801.10,De Comunidades Autónomas.
,,,801.20,De Entidades locales.
,81,,,Enajenación de obligaciones y bonos fuera del sector público.
,,810,,Enajenación de obligaciones y bonos fuera del sector público a corto plazo.
,,811,,Enajenación de obligaciones y bonos fuera del sector público a largo plazo.
,82,,,Reintegro de préstamos y anticipos concedidos al sector público.
,,820,,Reintegro de préstamos y anticipos concedidos al sector público a corto plazo.
,,,820.00,Del Estado.
,,,820.10,De Comunidades Autónomas.
,,,820.20,De Entidades locales.
,,821,,Reintegro de préstamos y anticipos concedidos al sector público a largo plazo.
,,,821.00,Del Estado.
,,,821.10,De Comunidades Autónomas.
,,,821.20,De Entidades locales.
,83,,,Reintegros de préstamos de fuera del sector público.
,,830,,Reintegros de préstamos de fuera del sector público a corto plazo.
,,831,,Reintegros de préstamos de fuera del sector público a largo plazo.
,84,,,Devolución de depósitos y fianzas constituidos.
,,840,,Devolución de depósitos.
,,841,,Devolución de fianzas.
,85,,,Enajenación de acciones y participaciones del sector público.
,86,,,Enajenación de acciones y participaciones fuera del sector público.
,87,,,Remanente de tesorería.
,,870,,Remanente de tesorería.
,,,870.00,Para gastos generales.
,,,870.10,Para gastos con financiación afectada.
9,,,,Pasivos financieros.
,90,,,Emisión de Deuda Pública en euros.
,,900,,Emisión de Deuda Pública en euros a corto plazo.
,,901,,Emisión de Deuda Pública en euros a largo plazo.
,91,,,Préstamos recibidos en euros.
,,910,,Préstamos recibidos a corto plazo de entes del sector público.
,,911,,Préstamos recibidos a largo plazo de entes del sector público.
,,912,,Préstamos recibidos a corto plazo de entes de fuera del sector público.
,,913,,Préstamos recibidos a largo plazo de entes de fuera del sector público.
,92,,,Emisión de Deuda Pública en moneda distinta del euro.
,,920,,Emisión de Deuda Pública en moneda distinta del euro a corto plazo.
,,921,,Emisión de Deuda Pública en moneda distinta del euro a largo plazo.
,93,,,Préstamos recibidos en moneda distinta del euro.
,,930,,Préstamos recibidos en moneda distinta del euro a corto plazo.
,,931,,Préstamos recibidos en moneda distinta del euro a largo plazo.
,94,,,Depósitos y fianzas recibidos.
,,940,,Depósitos recibidos.
,,941,,Fianzas recibidas.
